File Name,Quantity List
ALMOND_(roasted)_(Prunus_amygdalus)_10101.html,"[-1, '4', -1, -1, '0.5', '0.5', '8', '0.5', '1.5', -1, -1, '2', '30', 'trace', -1, '9', '9', -1, -1, '16', '1.5', '3']"
BRAZIL_NUT_(Bertholletia_excelsa)_11500.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
CASHEW_NUT_(raw)_26410.html,"['2.1', '0.5', '4', '0.5', '1.1', '30.2', '3.1', '3.4', '1.8', '1', '1.1', '1', '3', '5.1', '1', '4.3', '2.4', '3', '4.3', '1', '1', '7.7', '1.9', '4.9', '0.1', 'trace']"
ALMOND_OIL_(Amygdalus_communis)_10104.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
WALNUT_KERNEL_OIL_(Juglans_regia_L.)_10830.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
PISTACHIO_NUT_(Pistacia_vera)_(roasted)_19620.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
WALNUT_PELLICLE_(Juglans_regia_L.)_10820.html,"['273', '3179', '10032', '418', '49', '29', '22', '467', '1290']"
PEANUT_(roasted)_7620.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.007', -1, -1, -1, -1, '0.104', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.005', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.005', -1, -1, -1, '0.02', -1, -1, -1, -1, -1, -1, -1, -1, '0.01\xa0—\xa00.13', '0.04\xa0—\xa00.13', '0.8\xa0—\xa04.44', -1, '0.003', '0.8\xa0—\xa02.613', '0.637\xa0—\xa01.9', -1, -1, '0.02\xa0—\xa00.03', 'trace\xa0—\xa00.01', -1, '0.04\xa0—\xa00.838', '0.02\xa0—\xa00.03', '0.077', '0.001\xa0—\xa00.003', '0.00041\xa0—\xa00.05', '0.04\xa0—\xa00.1', '0.002\xa0—\xa00.007', '0.02\xa0—\xa00.4', '0.03\xa0—\xa00.2', '0.001', '0.06\xa0—\xa00.6', '0.3', '0.014', '0.06', '0.02\xa0—\xa00.08', '0.032', '0.002\xa0—\xa00.3', '0.004\xa0—\xa00.2', '0.012', '0.27', '0.1\xa0—\xa00.3', '0.02', '0.135\xa0—\xa00.868', 'trace\xa0—\xa00.7', '0.1\xa0—\xa00.2', 'trace', '0.03\xa0—\xa00.04', '0.02\xa0—\xa00.11', '0.00305', '0.03', '0.03', '0.04\xa0—\xa00.506', -1, -1, '0.034', '0.01\xa0—\xa04.447', -1, '0.1', -1, -1, '7.16', '0.1', '0.002\xa0—\xa00.004', '0.09', '0.01\xa0—\xa00.03', -1, -1, -1, '0.083', '0.02\xa0—\xa00.04', '0.005\xa0—\xa00.09', '0.007\xa0—\xa00.04', -1, '0.01', '0.0013', '0.01', 'trace\xa0—\xa00.05', 'trace', 'trace\xa0—\xa00.07', -1, -1, -1, -1, '0.0036', -1, -1, '3.035', -1, -1, -1, -1, -1, -1, '0.0257', '2.363', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.486', -1, -1, -1, -1, '0.133', -1, -1, -1, -1, -1, '0.0089', '0.0037', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '74', -1, -1, -1, -1, -1, -1, -1, -1, '6', '0.01', -1, -1, -1, -1, '0.01', '0.3', '15.234', '1.46\xa0—\xa011', -1, '0.1\xa0—\xa03.441', '0.03', -1, -1, -1, -1, -1, -1, -1, '0.01', '0.02', '0.1', -1, '0.1\xa0—\xa00.352', '0.01\xa0—\xa05.534', -1, -1, -1, '0.0022\xa0—\xa00.013', '0.554', -1, -1, -1, -1, '0.0024', '0.00076', '0.00028', '0.0042', -1, -1, -1, -1, -1, -1, -1, '0.113', '0.0088', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.0014', -1, -1, -1, '0.04', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.0019', -1, -1, -1, -1, -1, -1, '0.0149', -1, '7.814', '0.4', -1, '0.0041\xa0—\xa00.0137', '2.017', -1, -1, -1, '0.01', -1, '0.941\xa0—\xa02.4', '0.004', -1, -1, -1, -1, '0.0037', -1, -1, '0.059\xa0—\xa01.953', -1, -1, -1, -1, -1, -1, '0.096', '0.303', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
CASHEW_NUT_(roasted)_26420.html,"['2\xa0—\xa03', '0.5\xa0—\xa00.7', '1.7\xa0—\xa02', '4.8\xa0—\xa05', '1.5\xa0—\xa02', '1.5\xa0—\xa02', '24\xa0—\xa025', '10\xa0—\xa012', '6\xa0—\xa06.7', '5.2\xa0—\xa06.1', '4\xa0—\xa06.3', '8\xa0—\xa09.1', '9.2\xa0—\xa014', '0.8\xa0—\xa01.1', '4.1\xa0—\xa04.2', '1.1\xa0—\xa01.8', '3.7\xa0—\xa04', '6\xa0—\xa07', '2\xa0—\xa02.3', '2.1\xa0—\xa03', '10\xa0—\xa012.2', '26.5\xa0—\xa028.3', '8.1\xa0—\xa08.5', '8\xa0—\xa08.8', '11\xa0—\xa013.5', '9.3\xa0—\xa09.9', '0.9\xa0—\xa01', '7.6\xa0—\xa08', '2\xa0—\xa02.3', '6\xa0—\xa06.3', '0.5\xa0—\xa00.9', '0.8\xa0—\xa06.2', '13.3\xa0—\xa015.4', '0.9\xa0—\xa01.7']"
CANDLENUT_(Aleurites_moluccana)_27500.html,"['3', '220', '27']"
PEANUT_BUTTER_7640.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, '0.715', '0.204', -1, -1, '0.506', -1, -1, -1, -1, -1, -1, '0.017', -1, -1, -1, '0.909', -1, '0.397', -1, -1, '0.042', -1, '0.011', -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.557', '0.115', '0.038', -1, '0.0031', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.062']"
CHINESE_CHESTNUT_(Castanea_molissima)_(roasted)_27430.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
COCONUT_MILK_8330.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
WALNUT_STEM_BARK_(Juglans_regia_L.)_10860.html,"[-1, -1, -1]"
MACADAMIA_NUT_(Macadamia_integrifolia)_(roasted)_10210.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
CHINESE_CHESTNUT_(Castanea_molissima)_(boiled)_27440.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
PECAN_(roasted)_7720.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.099\xa0—\xa01.24', '0.082\xa0—\xa00.474', -1, '0.605\xa0—\xa07.1', -1, -1, -1, -1, -1, '0.026\xa0—\xa00.342', -1, '0.11\xa0—\xa03.08', -1, '0.124\xa0—\xa08.15', -1, '0.132\xa0—\xa03.88', '0.117\xa0—\xa00.336', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.05\xa0—\xa00.215', '0.116\xa0—\xa00.139', '0.598\xa0—\xa06.96', '0.5083\xa0—\xa05.916', '0.0897\xa0—\xa01.044', '0\xa0—\xa00.146', '0\xa0—\xa00.066', '0\xa0—\xa00.081', -1, '0\xa0—\xa00.113', -1, -1, -1, -1, -1, -1, -1, '0.021\xa0—\xa00.992', '0.0005\xa0—\xa00.02', '0\xa0—\xa00.1', -1, '0.874\xa0—\xa02.45', '0.208\xa0—\xa00.5']"
COCONUT_MEAT_8310.html,"['5', -1, '9', '4', '27', -1, -1, -1, '3', '7', -1, '4', 'trace\xa0—\xa014', -1, -1, 'trace', '2', '1', 'trace', 'trace', 'trace', 'trace', 'trace', 'trace', 'trace', 'trace', 'trace', 'trace', 'trace', 'trace', 'trace', '1', '2', '1', '3', '1\xa0—\xa04', '5', '1\xa0—\xa015', '1\xa0—\xa04', '6\xa0—\xa030', '3\xa0—\xa04', '33\xa0—\xa081', -1, -1, '82\xa0—\xa084', -1, -1, -1, '23\xa0—\xa027', -1, -1, '42', '5', '2\xa0—\xa04', '2', '4']"
ALMOND_HULL_(nonpareil)_10102.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
PISTACHIO_NUT_(Pistacia_vera)_(raw)_19610.html,"['0.16', '0.81', '0.54', '1.76', '0.4', '0.36', '0.52', '0.7', '0.16', '2.9']"
MANCHURIAN_WALNUT_(Juglans_mandshurica_Maxim.)_10850.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]"
CHINESE_CHESTNUT_(Castanea_molissima)_(raw)_27460.html,"[-1, -1, -1, -1, -1, -1]"
COCONUT_(roasted)_8320.html,"['trace', '1\xa0—\xa09', '3', '4\xa0—\xa010', '4\xa0—\xa016', '0\xa0—\xa01', '4\xa0—\xa016', '1\xa0—\xa03', 'trace\xa0—\xa04', '1', 'trace\xa0—\xa06', -1, -1, '0\xa0—\xa011', 'trace', 'trace', 'trace', 'trace\xa0—\xa03', 'trace', 'trace\xa0—\xa01', 'trace\xa0—\xa03', '0\xa0—\xa01', '0\xa0—\xa01', 'trace\xa0—\xa08', '0\xa0—\xa03', '0\xa0—\xa09', '0\xa0—\xa06', 'trace\xa0—\xa08', '0\xa0—\xa01', 'trace\xa0—\xa09', 'trace\xa0—\xa06', '0\xa0—\xa02', '0\xa0—\xa09', 'trace', 'trace\xa0—\xa05', 'trace\xa0—\xa03', '1\xa0—\xa04', '1\xa0—\xa03', 'trace\xa0—\xa01', 'trace\xa0—\xa05', '2', '0\xa0—\xa09', '15', '0\xa0—\xa011', '0\xa0—\xa02', '56\xa0—\xa0130', '55\xa0—\xa080', '5\xa0—\xa010', '19\xa0—\xa029', '0\xa0—\xa01', '1', '4', '0\xa0—\xa02', '0\xa0—\xa03', '5\xa0—\xa029', '2\xa0—\xa06', '<1\xa0—\xa034.7', '1', '4\xa0—\xa015', '2\xa0—\xa017.9', '2\xa0—\xa04', '11\xa0—\xa035.8', '2\xa0—\xa09', '3\xa0—\xa010.6', '3\xa0—\xa011', '6\xa0—\xa038.5', '3', '2\xa0—\xa04', '0\xa0—\xa01', '2\xa0—\xa04', '1', '0\xa0—\xa02', '0\xa0—\xa02', '1\xa0—\xa04', '2', '1\xa0—\xa03', '3\xa0—\xa08', '5']"
"FILBERT,_HAZELNUT_(roasted)_7520.html","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.598', -1, -1, '0.071', '0.062', -1, '0.723', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.526', '1.523', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '4.983', '0.684', '1.841', '0.123', '0.031', -1, '0.035', -1, -1, -1, -1, -1, -1, -1, -1, '4.875', -1, '27.445', -1, '0.078', -1, '2.517', '0.37', '0.063', -1, -1, -1, -1, -1, -1, '0.232', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.834', -1, -1, -1, -1, -1, -1, -1, -1, -1, '2.774', -1, '0.597', '0.177', -1, -1, -1, -1, -1, '0.177', -1, -1, -1, '0.332', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.137', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1.181', '0.254', -1, -1, -1, -1, -1, '1.676', '0.196', '0.15', '0.578', '0.151', -1, -1, -1, -1, -1, -1, '0.158', '0.17', '0.095', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.253', -1, -1, -1, -1, -1, '0.12', -1, -1, -1, '0.431', -1, '1.595', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
GREEN_WALNUT_HUSK_(dried_unripe)(Juglans_regia_L.)_10840.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '94\xa0—\xa01836', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
COCONUT_OIL_8340.html,"['<0.1', '<0.1', '<0.1', '<0.1', '0.1', '0.2', '<0.1', '0.4', '<0.1', '0.4', '<0.1', '<0.1', '<0.1', '0.2', '<0.1', '<0.1', '0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1\xa0—\xa040', '<0.1\xa0—\xa073', '0.1\xa0—\xa0290', '0.1\xa0—\xa0138', '65', '0.3', '0.3', '1', '2.5', '0.2', '0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1', '<0.1', '20', '<0.1\xa0—\xa051', '<0.1', '<0.1\xa0—\xa097', '<0.1', '0.1\xa0—\xa060', '30']"
PECAN_(raw)_7710.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.015', '0.0074', -1, -1, '0.335', -1, -1, -1, -1, -1, -1, '0.013', -1, -1, '0.012', -1, '0.0004', -1, '0.0033', -1, '0.019', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.043', '0.122', '0.094', '0.0799', '0.0141', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
