CAS Number,Compound Name
17678-20-5,4-hydroxy-2-(hydroxymethyl)-5-methyl-3(2H)-furanone
4166-20-5,"4-acetoxy-2,5-dimethyl-3(2H)-furanone (=furaneol acetate)"
1192-62-7,"2-acetylfuran (=2-furyl methyl ketone, 1-(2-furyl)ethanone)"
14313-09-8,3-acetylfuran
25154-45-4,acetylfuran (unkn.str.)
17678-19-2,2-(hydroxyacetyl)furan (=2-furyl hydroxymethyl ketone)
33342-43-7,2-acetyl-4-methylfuran
1193-79-9,2-acetyl-5-methylfuran
24119-98-0,2-acetyl-5-ethylfuran
,2-acetyl-5-propylfuran
22940-86-9,"2-acetyl-3,5-dimethylfuran"
73761-44-1,"2-acetyl-4,5-dimethylfuran"
3420-59-5,2-acetyl-3-hydroxyfuran (=isomaltol)
6975-60-6,2-(2-oxopropyl)furan (=2-acetonylfuran)
3194-15-8,2-propanoylfuran
25154-46-5,propanoylfuran (unkn.str.)
4208-63-3,2-(2-oxobutyl)furan
699-17-2,2-(3-oxobutyl)furan
100113-53-9,2-butanoylfuran
90673-55-5,2-butanoyl-5-methylfuran
20895-17-4,2-(2-methylbutanoyl)furan
64677-61-8,1-(2-furyl)-2-buten-1-one
623-15-4,4-(2-furyl)-3-buten-2-one
41438-24-8,(E)-4-(2-furyl)-3-buten-2-one
23120-57-2,4-(5-methyl-2-furyl)-3-buten-2-one
13678-70-1,1-(5-methyl-2-furyl)-2-butanone
13679-56-6,4-(5-methyl-2-furyl)-2-butanone
488-05-1,elsholtzia ketone
,5-pentanoylfurfural
84099-60-5,5-(2-furyl)-2-pentanone
69978-21-8,1-(2-furyl)-3-pentanone
770-48-9,1-(2-furyl)-1-penten-3-one
80445-58-5,5-(3-furyl)-2-methyl-1-penten-3-one (=lepalone)
20894-91-1,"1-(2-furyl)-1,2-pentanedione"
52786-29-5,"1-(2-furyl)-1,3-pentanedione"
13678-74-5,2-acetonyl-5-methylfuran (=1-(5-methyl-2-furyl)-2-propanone)
10599-69-6,2-methyl-5-propanoylfuran
106060-94-0,1-(5-methyl-2-furyl)-4-pentanone
,2-acetyl-5-propanoylfuran
3194-17-0,2-pentanoylfuran
2349-16-8,2-methyl-5-pentanoylfuran
14360-50-0,2-hexanoylfuran
55107-03-4,1-(2-furyl)-2-heptanone (=furfuryl pentyl ketone)
77822-40-3,(Z)-6-methyl-6-(5-methyl-2-furanyl)-3-hepten-2-one
87487-99-8,1-(2-furyl)-2-octanone (=furfuryl hexyl ketone)
1438-92-2,"1-(2-furyl)-1,2-propanedione"
1197-20-2,"1-(5-methyl-2-furyl)-1,2-propanedione"
1438-90-0,"1-(2-furyl)-1,2-butanedione"
97550-04-4,curcumanolide A
97452-55-6,curcumanolide B
13678-76-7,"1-(5-methyl-2-furyl)-1,2-butanedione"
,"7-(2-furyl)-2,3-heptanedione"
20493-56-5,curzerenone
20085-85-2,epicurzerenone
,hydroxyisogermafurenolide
24268-41-5,furanodienone
24268-42-6,isofuranodienone
20053-66-1,dihydro-α-agarofuran
