CAS Number,Compound Name
710-04-3,"5-hydroxyundecanoic acid lactone (=5-undecanolide, δ-undecalactone)"
1310721-21-1,5-hydroxy-10-methylundecanoic acid lactone
2305-05-7,"4-hydroxydodecanoic acid lactone (=4-dodecanolide, γ-dodecalactone)"
69830-91-7,(R)-4-hydroxydodecanoic acid lactone
69830-92-8,(S)-4-hydroxydodecanoic acid lactone
713-95-1,"5-hydroxydodecanoic acid lactone (=5-dodecanolide, δ-dodecalactone)"
29587-89-1,(R)-(-)-5-hydroxydodecanoic acid lactone
108943-47-1,(S)-(+)-5-hydroxydodecanoic acid lactone
17756-68-2,4-hydroxydodec-2-enoic acid lactone (=γ-2-dodecenolactone)
,5-hydroxydodec-9-enoic acid lactone
1310721-19-7,(E)-5-hydroxy-9-dodecenoic acid lactone
18679-14-6,(Z)-5-hydroxy-9-dodecenoic acid lactone
1310721-22-2,5-hydroxy-11-methyldodecanoic acid lactone
7370-36-7,"4-hydroxytridecanoic acid lactone (=4-tridecanolide, γ-tridecalactone)"
7370-92-5,"5-hydroxytridecanoic acid lactone (=5-tridecanolide, δ-tridecalactone)"
1725-04-8,"13-hydroxytridecanoic acid lactone (=1,13-tridecanolide)"
,tridecanolide (unkn.str.)
2721-23-5,4-hydroxytetradecanoic acid lactone (=γ-tetradecalactone)
2721-22-4,5-hydroxytetradecanoic acid lactone (=δ-tetradecalactone)
1342307-16-7,(6E)-5-hydroxy-6-tetradecenoic acid lactone
1342307-14-5,(8Z)-5-hydroxy-8-tetradecenoic acid lactone
1342307-15-6,(8E)-5-hydroxy-8-tetradecenoic acid lactone
15456-70-9,5-hydroxytetradec-9-enoic acid lactone
934298-76-7,(Z)-5-hydroxy-9-decenoic acid lactone
5579-78-2,ε-decalactone
16429-21-3,ε-dodecalactone
3041-18-7,6-hydroxytetradecanoic acid lactone
499-54-7,"6-Hydroxy-3,7-dimethyloctanoic acid lactone"
68330-68-7,cis-mentholactone
133267-37-5,trans-mentholactone
29619-77-0,4-hydroxypentadecanoic acid lactone
68922-03-2,5-hydroxypentadecanoic acid lactone
106-02-5,15-hydroxypentadecanoic acid omega-lactone (=pentadecanolide)
