CAS Number,Compound Name
89-86-1,"2,4-dihydroxybenzoic acid (=β-resorcylic acid)"
490-79-9,"2,5-dihydroxybenzoic acid (=gentisic acid)"
303-07-1,"2,6-dihydroxybenzoic acid (=γ-resorcylic acid)"
99-50-3,"3,4-dihydroxybenzoic acid (=protocatechuic acid)"
99-10-5,"3,5-dihydroxybenzoic acid (=α-resorcylic acid)"
27138-57-4,dihydroxybenzoic acid (unkn.str.)
121-34-6,4-hydroxy-3-methoxybenzoic acid (=vanillic acid)
91-52-1,"2,4-dimethoxybenzoic acid"
1466-76-8,"2,6-dimethoxybenzoic acid"
93-07-2,"3,4-dimethoxybenzoic acid (=veratric acid)"
1132-21-4,"3,5-dimethoxybenzoic acid"
1076-88-6,"3,4,5-trimethylbenzoic acid"
149-91-7,"3,4,5-trihydroxybenzoic acid (=gallic acid)"
83-30-7,"2,4,6-trihydroxybenzoic acid"
118-41-2,"3,4,5-trimethoxybenzoic acid"
5292-21-7,Cyclohexylacetic acid
7694-45-3,"p-1,8-menthadienoic acid (=perillic acid)"
138-59-0,"3,4,5-trihydroxy-1-cyclohexene-carboxylic acid (=shikimic acid)"
77-95-2,quinic acid
530-57-4,"4-hydroxy-3,5-dimethoxybenzoic acid (=syringic acid)"
94-53-1,"1,3-benzodioxole-5-carboxylic acid (=piperonylic acid)"
526-34-1,"7-methoxy-1,3-benzodioxole-5-carboxylic acid"
103-82-2,phenylacetic acid
90-64-2,2-hydroxy-2-phenylacetic acid (=mandelic acid)
614-75-5,(2-hydroxyphenyl)acetic acid
621-37-4,(3-hydroxyphenyl)acetic acid
156-38-7,(4-hydroxyphenyl)acetic acid
93-25-4,(2-methoxyphenyl)acetic acid
104-01-8,(4-methoxyphenyl)acetic acid
10502-44-0,2-hydroxy-2-(4-methoxyphenyl)acetic acid
13443-54-4,"2-hydroxy-2-(3,4-dimethoxyphenyl)acetic acid"
306-08-1,2-(4-hydroxy-3-methoxyphenyl)acetic acid (=homovanillic acid)
951-82-6,"3,4,5-trimethoxyphenylacetic acid"
492-37-5,2-phenylpropanoic acid
501-52-0,3-phenylpropanoic acid (=hydrocinnamic acid)
,phenylpropanoic acid (unkn.str.)
156-06-9,2-oxo-3-phenylpropanoic acid (=3-phenylpyruvic acid)
306-23-0,2-hydroxy-3-(4-hydroxyphenyl)propanoic acid
28030-15-1,2-hydroxy-3-(4-methoxyphenyl)propanoic acid
51410-49-2,3-hydroxy-3-(4-methoxyphenyl)propanoic acid
156-39-8,3-(4-hydroxyphenyl)-2-oxopropanoic acid
2107-70-2,"3-(3,4-dimethoxyphenyl)propanoic acid"
621-82-9,cinnamic acid
102-94-3,(Z)-cinnamic acid
140-10-3,(E)-cinnamic acid
156-05-8,2-hydroxy-3-phenylpropanoic acid (=3-phenyllactic acid)
501-97-3,3-(4-hydroxyphenyl)propanoic acid
6342-77-4,3-(2-methoxyphenyl)propanoic acid
583-17-5,2-hydroxycinnamic acid (=o-coumaric acid)
,coumaric acid (unkn.str.)
614-60-8,(E)-2-hydroxycinnamic acid (=o-trans-coumaric)
588-30-7,3-hydroxycinnamic acid (=m-coumaric acid)
7400-08-0,4-hydroxycinnamic acid (=p-coumaric acid)
501-98-4,(E)-4-hydroxycinnamic acid (=(E)-p-coumaric acid)
4501-31-9,(Z)-4-hydroxycinnamic acid (=(Z)-p-coumaric acid)
27174-07-8,(Z)-p-coutaric acid
67920-37-0,(E)-p-coutaric acid
,fertaric acid (unkn.str.)
25429-38-3,6-hydroxycinnamic acid (unkn.str.)
6099-03-2,2-methoxycinnamic acid
14737-91-8,(Z)-2-methoxycinnamic acid
1011-54-7,(E)-2-methoxycinnamic acid
830-09-1,4-methoxycinnamic acid
943-89-5,(E)-4-methoxycinnamic acid
66169-96-8,methoxycinnamic acid (unkn.str.)
331-39-5,"3,4-dihydroxycinnamic acid (=caffeic acid)"
501-16-6,"(E)-3,4-dihydroxycinnamic acid (=(E)-caffeic acid)"
1135-24-6,4-hydroxy-3-methoxycinnamic acid (=ferulic acid)
537-98-4,(E)-4-hydroxy-3-methoxycinnamic acid (=(E)-ferulic acid)
1014-83-1,(Z)-4-hydroxy-3-methoxycinnamic acid (=(Z)-ferulic acid)
537-73-5,3-hydroxy-4-methoxycinnamic acid (=isoferulic acid)
7461-60-1,"2,3-dimethoxycinnamic acid"
2316-26-9,"3,4-dimethoxycinnamic acid"
14737-88-3,"(Z)-3,4-dimethoxycinnamic acid"
14737-89-4,"(E)-3,4-dimethoxycinnamic acid"
530-59-6,"4-hydroxy-3,5-dimethoxycinnamic acid (=sinapic acid)"
90-50-6,"3,4,5-trimethoxycinnamic acid"
90-27-7,2-phenylbutanoic acid
1821-12-1,4-phenylbutanoic acid
7021-11-6,4-(4-hydroxyphenyl)butanoic acid
4412-10-6,2-phenyl-2-butenoic acid
88-99-3,phthalic acid
481-74-3,chrysophanic acid
577-56-0,2-acetylbenzoic acid
496-41-3,coumarilic acid
55483-24-4,"16,17-dihydroxy-9(11)-kauren-18-oic acid"
74-90-8,hydrocyanic acid
,"3-isobutyl-2,2-dimethylcyclopropanecarboxylic acid"
327-97-9,chlorogenic acid
905-99-7,4-O-caffeoylquinic acid
14534-61-3,"3,4-dicaffeoylquinic acid"
1899-29-2,5-O-feruloylquinic acid
2613-86-7,4-O-feruloylquinic acid
87099-71-6,3-p-coumaroylquinic acid
1899-30-5,5-p-coumaroylquinic acid
1108200-72-1,4-p-coumaroylquinic acid
546-53-2,thujopsenic acid
2761-77-5,communic acid
476-66-4,ellagic acid
50-81-7,ascorbic acid
490-83-5,dehydroascorbic acid
