CAS Number,Compound Name
,methoxyeugenol (unkn.str.)
110162-33-9,allyldimethoxyphenol (unkn.str.)
26624-13-5,"(Z)-2,6-dimethoxy-4-(1-propenyl)phenol"
20675-95-0,"(E)-2,6-dimethoxy-4-(1-propenyl)phenol"
6635-22-9,"2,6-dimethoxy-4-propenylphenol (unkn.str.) (=4-propenyl-syringol (unkn.str.))"
,trimethoxyphenol (unkn.str.)
,trimethoxy-methylphenol (unkn.str.)
6443-69-2,"1,2,3-trimethoxy-5-methylbenzene"
38790-14-6,"1,2,5-trimethoxy-3-methylbenzene"
56438-71-2,"5-ethyl-1,2,3-trimethoxybenzene"
13400-02-7,"1,2,3-trimethoxy-5-vinylbenzene"
41564-88-9,"1,2,3-trimethoxy-5-propylbenzene"
5353-15-1,"1-allyl-2,4,5-trimethoxybenzene (=γ-asarone)"
5273-88-1,"1-allyl-2,3,4-trimethoxybenzene"
487-11-6,"5-allyl-1,2,3-trimethoxybenzene (=elemicin)"
83103-61-1,allyl-trimethoxybenzene (unkn.str.)
487-12-7,"1,2,3-trimethoxy-5-(1-propenyl)benzene"
5273-84-7,"(Z)-1,2,3-trimethoxy-5-(1-propenyl)benzene (=Z-isoelemicin)"
5273-85-8,"(E)-1,2,3-trimethoxy-5-(1-propenyl)benzene (=E-isoelemicin)"
79004-66-3,"1-(1-butenyl)-2,4,5-trimethoxybenzene"
79004-67-4,"1-(1,3-butadienyl)-2,4,5-trimethoxybenzene"
68305-22-6,"(Z)-1-(1,3-butadienyl)-2,4,5-trimethoxybenzene"
68305-21-5,"(E)-1-(1,3-butadienyl)-2,4,5-trimethoxybenzene"
52811-28-6,"4-methoxy-6-propyl-1,3-benzodioxole"
607-91-0,myristicin
18607-93-7,"6-allyl-5-methoxy-1,3-benzodioxole (=sarisan)"
18312-21-5,"(E)-4-methoxy-6-(1-propenyl)-1,3-benzodioxole (=E-isomyristicin)"
523-80-8,"5-allyl-4,7-dimethoxy-1,3-benzodioxole (=apiole, parsley apiole)"
484-31-1,"6-allyl-4,5-dimethoxy-1,3-benzodioxole (=dill apiole)"
15361-99-6,"1-allyl-2,3,4,5-tetramethoxybenzene"
23513-14-6,[6]-gingerol
23513-08-8,[8]-gingerol
23513-15-7,[10]-gingerol
99742-03-7,gingerol (unkn.str.)
,methylgingerol
53254-75-4,[4]-gingerdiol
555-66-8,[6]-shogaol
27113-22-0,paradol (=[6]-paradol)
36062-05-2,hexahydrocurcumin
,desmethylhexahydrocurcumin
2883-98-9,"(E)-1,2,4-trimethoxy-5-(1-propenyl)benzene (=α-asarone, E-asarone)"
5273-86-9,"(Z)-1,2,4-trimethoxy-5-(1-propenyl)benzene (=β-asarone, Z-asarone)"
,methylshogaol
