CAS Number,Compound Name
29210-77-3,"3,7-dimethyl-1-octene-3,7-diol"
10207-75-7,"2,6-dimethyl-7-octene-1,6-diol"
160790-49-8,"cis-2,7-dimethyl-4-octene-2,7-diol"
75654-19-2,"3,7-dimethyl-1,6-octadiene-3,5-diol (=5-hydroxylinalool)"
,8-acetoxylinalool
51276-33-6,"2,6-dimethyl-1,7-octadiene-3,6-diol"
111234-31-2,"3,7-dimethyl-2,5-octadiene-1,7-diol"
26488-97-1,"(E,E)-2,6-dimethyl-2,6-octadiene-1,8-diol"
,"2,6-dimethyl-3,7-octadiene-1,6-diol"
13741-21-4,"2,6-dimethyl-3,7-octadiene-2,6-diol"
112420-84-5,"(Z)-2,6-dimethyl-3,7-octadiene-2,6-diol"
51276-34-7,"(E)-2,6-dimethyl-3,7-octadiene-2,6-diol"
,"2,6-dimethyloctadienediol (unkn.str.)"
73815-21-1,"3,7-dimethyl-1-octene-3,6,7-triol"
120231-02-9,"3,7-dimethyl-2-octene-1,6,7-triol"
,"2,6-dimethyl-2-octene-1,6,7-triol 1-acetate"
143-08-8,1-nonanol
628-99-9,2-nonanol
624-51-1,3-nonanol
623-93-8,5-nonanol
65572-87-4,sec-nonanol (unkn.str.)
22104-79-6,2-nonen-1-ol
31502-14-4,(E)-2-nonen-1-ol
41453-56-9,(Z)-2-nonen-1-ol
51494-28-1,3-nonen-1-ol
10340-23-5,(Z)-3-nonen-1-ol
10339-61-4,(E)-3-nonen-1-ol
40709-05-5,6-nonen-1-ol
35854-86-5,(Z)-6-nonen-1-ol
31502-19-9,(E)-6-nonen-1-ol
38285-42-6,(E)-3-nonen-2-ol
59637-35-3,(E)-4-nonen-2-ol
,4-nonen-2-ol
79925-76-1,(E)-5-nonen-2-ol
79925-77-2,(Z)-5-nonen-2-ol
,5-nonen-2-ol
57238-61-6,(E)-6-nonen-2-ol
79925-78-3,(Z)-6-nonen-2-ol
,6-nonen-2-ol
,nonen-2-ol (unkn.str.)
21964-44-3,1-nonen-3-ol
35192-73-5,1-nonen-4-ol
26634-58-2,nonenol (unkn.str.)
62488-56-6,"2,4-nonadien-1-ol"
64576-90-5,"(E,E)-2,4-nonadienol"
